ID,User,Reaction Type,Reaction Date,INP_SYSDATE
1,711,Emoticon,1588166846,2020-04-29 17:27:26
2,701,Emoticon,1588163334,2020-04-29 16:28:54
3,656,Comment,1588162272,2020-04-29 16:11:12
4,673,Like,1588165271,2020-04-29 17:01:11
5,833,Comment,1588168814,2020-04-29 18:00:14
6,733,Emoticon,1588166049,2020-04-29 17:14:09
7,717,Like,1588164791,2020-04-29 16:53:11
8,641,Emoticon,1588162893,2020-04-29 16:21:33
9,734,Emoticon,1588164089,2020-04-29 16:41:29
10,465,Emoticon,1588162297,2020-04-29 16:11:37
11,635,Emoticon,1588162873,2020-04-29 16:21:13
12,676,Emoticon,1588169125,2020-04-29 18:05:25
13,709,Comment,1588166202,2020-04-29 17:16:42
14,674,Like,1588168698,2020-04-29 17:58:18
15,646,Like,1588163874,2020-04-29 16:37:54
16,697,Like,1588162406,2020-04-29 16:13:26
17,645,Like,1588164890,2020-04-29 16:54:50
18,788,Emoticon,1588165169,2020-04-29 16:59:29
19,66,Emoticon,1588165187,2020-04-29 16:59:47
20,680,Comment,1588164568,2020-04-29 16:49:28
21,708,Comment,1588165571,2020-04-29 17:06:11
22,726,Comment,1588167147,2020-04-29 17:32:27
23,708,Like,1588165351,2020-04-29 17:02:31
24,642,Comment,1588168639,2020-04-29 17:57:19
25,699,Emoticon,1588164194,2020-04-29 16:43:14
26,670,Comment,1588165884,2020-04-29 17:11:24
27,75,Emoticon,1588165835,2020-04-29 17:10:35
28,730,Comment,1588166386,2020-04-29 17:19:46
29,705,Like,1588166548,2020-04-29 17:22:28
30,674,Like,1588164097,2020-04-29 16:41:37
31,65,Emoticon,1588165364,2020-04-29 17:02:44
32,646,Emoticon,1588164585,2020-04-29 16:49:45
33,658,Comment,1588164335,2020-04-29 16:45:35
34,736,Comment,1588164262,2020-04-29 16:44:22
35,734,Emoticon,1588168539,2020-04-29 17:55:39
36,727,Comment,1588164932,2020-04-29 16:55:32
37,713,Emoticon,1588166252,2020-04-29 17:17:32
38,647,Comment,1588165719,2020-04-29 17:08:39
39,654,Like,1588166501,2020-04-29 17:21:41
40,723,Emoticon,1588163208,2020-04-29 16:26:48
41,659,Comment,1588166675,2020-04-29 17:24:35
42,681,Comment,1588164017,2020-04-29 16:40:17
43,651,Emoticon,1588164149,2020-04-29 16:42:29
44,69,Emoticon,1588163997,2020-04-29 16:39:57
45,643,Comment,1588168022,2020-04-29 17:47:02
46,465,Like,1588165331,2020-04-29 17:02:11
47,688,Comment,1588163649,2020-04-29 16:34:09
48,642,Comment,1588166431,2020-04-29 17:20:31
49,678,Like,1588164841,2020-04-29 16:54:01
50,721,Emoticon,1588165826,2020-04-29 17:10:26
51,636,Like,1588161922,2020-04-29 16:05:22
52,677,Emoticon,1588164898,2020-04-29 16:54:58
53,735,Comment,1588165229,2020-04-29 17:00:29
54,710,Like,1588166993,2020-04-29 17:29:53
55,719,Emoticon,1588166891,2020-04-29 17:28:11
56,672,Emoticon,1588165546,2020-04-29 17:05:46
57,695,Like,1588166680,2020-04-29 17:24:40
58,118,Emoticon,1588168109,2020-04-29 17:48:29
59,465,Like,1588165298,2020-04-29 17:01:38
60,764,Emoticon,1588167260,2020-04-29 17:34:20
61,664,Comment,1588166038,2020-04-29 17:13:58
62,692,Emoticon,1588165382,2020-04-29 17:03:02
63,67,Emoticon,1588167988,2020-04-29 17:46:28
64,706,Emoticon,1588167154,2020-04-29 17:32:34
65,659,Emoticon,1588168500,2020-04-29 17:55:00
66,691,Comment,1588161835,2020-04-29 16:03:55
67,737,Comment,1588166151,2020-04-29 17:15:51
68,642,Like,1588164591,2020-04-29 16:49:51
69,714,Like,1588165903,2020-04-29 17:11:43
70,708,Comment,1588165219,2020-04-29 17:00:19
71,673,Emoticon,1588162441,2020-04-29 16:14:01
72,635,Emoticon,1588163874,2020-04-29 16:37:54
73,636,Comment,1588164677,2020-04-29 16:51:17
74,650,Like,1588167945,2020-04-29 17:45:45
75,658,Like,1588164562,2020-04-29 16:49:22
76,710,Emoticon,1588165344,2020-04-29 17:02:24
77,638,Like,1588163999,2020-04-29 16:39:59
78,685,Comment,1588162455,2020-04-29 16:14:15
79,641,Emoticon,1588165543,2020-04-29 17:05:43
80,516,Comment,1588166372,2020-04-29 17:19:32
81,764,Emoticon,1588170241,2020-04-29 18:24:01
82,716,Comment,1588163696,2020-04-29 16:34:56
83,727,Comment,1588165920,2020-04-29 17:12:00
84,702,Emoticon,1588164657,2020-04-29 16:50:57
85,67,Like,1588165943,2020-04-29 17:12:23
86,713,Comment,1588165224,2020-04-29 17:00:24
87,642,Like,1588164910,2020-04-29 16:55:10
88,660,Like,1588168050,2020-04-29 17:47:30
89,287,Comment,1588168706,2020-04-29 17:58:26
90,661,Like,1588162826,2020-04-29 16:20:26
91,713,Comment,1588163286,2020-04-29 16:28:06
92,66,Like,1588164316,2020-04-29 16:45:16
93,652,Comment,1588166051,2020-04-29 17:14:11
94,731,Comment,1588164292,2020-04-29 16:44:52
