ID,Friend 1,Friend 2
1,1,555
2,1,921
3,1,213
4,1,184
5,1,242
6,1,402
7,1,399
8,1,84
9,1,55
10,2,752
11,2,539
12,2,535
13,2,391
14,2,91
15,2,414
16,2,534
17,2,918
18,3,71
19,3,705
20,3,695
21,3,729
22,3,608
23,3,508
24,3,802
25,3,775
26,3,902
27,3,744
28,3,673
29,4,428
30,4,125
31,4,665
32,4,120
33,4,670
34,4,679
35,4,249
36,4,15
37,4,319
38,5,509
39,5,455
40,5,819
41,5,204
42,5,530
43,5,810
44,6,347
45,6,862
46,6,266
47,6,432
48,6,578
49,6,750
50,6,687
51,6,724
52,6,509
53,6,387
54,6,49
55,7,286
56,7,153
57,7,269
58,7,30
59,7,33
60,7,1000
61,7,203
62,7,474
63,7,579
64,7,294
65,7,220
66,8,310
67,8,363
68,8,477
69,8,61
70,8,151
71,8,446
72,8,335
73,8,930
74,8,797
75,8,809
76,8,677
77,9,339
78,9,852
79,9,173
80,9,196
81,9,180
82,9,628
83,9,532
84,9,365
85,9,668
86,9,830
87,9,716
88,9,908
89,10,509
90,10,362
91,10,322
92,10,578
93,10,280
94,10,421
95,10,424
96,10,402
97,10,495
98,11,203
99,11,775
100,11,475
101,11,753
102,11,965
103,11,948
104,11,455
105,11,762
106,11,208
107,11,92
108,11,168
109,11,48
110,11,463
111,11,307
112,12,180
113,12,646
114,12,800
115,12,487
116,12,331
117,12,701
118,12,468
119,12,70
120,13,616
121,13,88
122,13,764
123,13,217
124,13,455
125,13,838
126,14,976
127,14,807
128,14,137
129,14,495
130,14,530
131,14,809
132,14,551
133,14,664
134,14,801
135,14,767
136,14,900
137,14,365
138,14,361
139,14,103
140,15,780
141,15,675
142,15,5
143,15,506
144,15,246
145,15,349
146,15,977
147,15,669
148,15,107
149,15,616
150,15,103
151,15,821
152,15,12
153,16,405
154,16,748
155,16,541
156,16,354
157,16,797
158,16,589
159,16,222
160,16,547
161,16,639
162,16,584
163,16,20
164,16,663
165,16,19
166,16,984
167,17,248
168,17,982
169,17,46
170,17,549
171,17,167
172,17,408
173,17,377
174,17,89
175,17,690
176,17,362
177,17,795
178,18,793
179,18,847
180,18,622
181,18,39
182,18,786
183,18,35
184,19,590
185,19,337
186,19,472
187,19,580
188,19,473
189,19,599
190,19,934
191,19,982
192,19,284
193,19,906
194,19,210
195,19,319
196,19,380
197,20,438
198,20,692
199,20,678
200,20,509
201,20,79
202,20,144
203,20,645
204,20,449
205,20,402
206,20,921
207,20,63
208,20,304
209,21,444
210,21,184
211,21,60
212,21,585
213,21,693
214,21,606
215,21,938
216,21,631
217,21,392
218,22,31
219,22,417
220,22,527
221,22,636
222,22,173
223,22,178
224,22,173
225,22,175
226,22,664
227,23,119
228,23,928
229,23,904
230,23,144
231,23,191
232,23,797
233,23,754
234,23,739
235,23,940
236,23,453
237,23,335
238,23,646
239,24,612
240,24,133
241,24,4
242,24,683
243,24,12
244,24,744
245,24,26
246,25,811
247,25,291
248,25,332
249,25,154
250,25,227
251,25,528
252,25,686
253,25,45
254,26,216
255,26,46
256,26,420
257,26,450
258,26,736
259,26,679
260,26,32
261,26,798
262,26,716
263,26,47
264,27,774
265,27,322
266,27,201
267,27,431
268,27,463
269,27,460
270,28,544
271,28,9
272,28,968
273,28,407
274,28,983
275,28,290
276,28,381
277,28,448
278,28,676
279,28,695
280,28,502
281,29,628
282,29,268
283,29,236
284,29,135
285,29,979
286,29,474
287,29,981
288,30,75
289,30,421
290,30,122
291,30,944
292,30,637
293,31,540
294,31,233
295,31,226
296,31,505
297,31,839
298,31,193
299,31,684
300,31,278
301,31,892
302,31,457
303,31,587
304,31,575
305,31,592
306,31,268
307,32,201
308,32,986
309,32,598
310,32,313
311,32,42
312,32,483
313,32,696
314,32,175
315,32,25
316,33,411
317,33,584
318,33,872
319,33,943
320,33,677
321,33,560
322,33,566
323,34,531
324,34,476
325,34,545
326,34,611
327,34,771
328,34,422
329,35,905
330,35,45
331,35,197
332,35,609
333,35,233
334,35,369
335,35,715
336,35,706
337,35,95
338,35,825
339,35,845
340,36,533
341,36,112
342,36,188
343,36,165
344,36,521
345,36,809
346,36,350
347,36,729
348,36,555
349,36,725
350,36,185
351,36,899
352,36,385
353,37,228
354,37,734
355,37,473
356,37,878
357,37,26
358,37,790
359,37,813
360,37,793
361,37,944
362,37,747
363,38,775
364,38,411
365,38,864
366,38,262
367,38,977
368,38,384
369,38,976
370,38,697
371,38,526
372,38,94
373,38,245
374,38,512
375,38,551
376,38,24
377,39,614
378,39,960
379,39,234
380,39,691
381,39,576
382,39,624
383,39,230
384,39,917
385,39,175
386,39,373
387,39,751
388,39,693
389,39,230
390,40,286
391,40,831
392,40,973
393,40,990
394,40,249
395,40,497
396,40,691
397,40,725
398,40,940
399,40,503
400,40,613
401,40,197
402,41,930
403,41,327
404,41,898
405,41,55
406,41,144
407,41,458
408,41,320
409,41,17
410,42,571
411,42,824
412,42,179
413,42,564
414,42,298
415,42,747
416,42,69
417,42,670
418,42,162
419,42,600
420,43,187
421,43,889
422,43,285
423,43,211
424,43,140
425,43,132
426,43,159
427,43,373
428,43,495
429,43,49
430,44,547
431,44,405
432,44,104
433,44,342
434,44,397
435,44,583
436,44,908
437,44,18
438,44,821
439,44,138
440,44,521
441,44,125
442,45,504
443,45,681
444,45,477
445,45,714
446,45,646
447,45,519
448,45,686
449,46,557
450,46,337
451,46,747
452,46,912
453,46,529
454,46,314
455,46,756
456,46,560
457,46,972
458,46,879
459,47,749
460,47,666
461,47,3
462,47,580
463,47,986
464,47,602
465,47,835
466,47,72
467,48,360
468,48,533
469,48,295
470,48,889
471,48,458
472,48,19
473,48,962
474,48,43
475,48,104
476,48,163
477,48,105
478,48,646
479,49,191
480,49,515
481,49,968
482,49,509
483,49,830
484,49,316
485,49,657
486,49,356
487,49,279
488,49,704
489,49,250
490,49,659
491,49,219
492,50,290
493,50,334
494,50,29
495,50,267
496,50,426
497,50,879
498,51,164
499,51,406
500,51,702
501,51,376
502,51,622
503,51,965
504,51,438
505,51,581
506,52,147
507,52,34
508,52,659
509,52,267
510,52,968
511,52,737
512,52,596
